TEL01L	1	801	CHRI	telomere
YAL069W	335	649	CHRI	ORF
YAL068W-A	538	792	CHRI	ORF
ARS102	707	776	CHRI	ARS
intergenic*TEL01L_YAL068C	802	1806	CHRI	intergenic
YAL068C	1807	2169	CHRI	ORF
intergenic*YAL068C_YAL067W-A	2170	2479	CHRI	intergenic
YAL067W-A	2480	2707	CHRI	ORF
intergenic*YAL067W-A_YAL067C	2708	7234	CHRI	intergenic
YAL067C	7235	9016	CHRI	ORF
ARS103	7997	8547	CHRI	ARS
intergenic*YAL067C_YAL066W	9017	10090	CHRI	intergenic
YAL066W	10091	10399	CHRI	ORF
intergenic*YAL066W_YAL065C	10400	11564	CHRI	intergenic
YAL065C	11565	11951	CHRI	ORF
intergenic*YAL065C_YAL064W-B	11952	12045	CHRI	intergenic
YAL064W-B	12046	12426	CHRI	ORF
intergenic*YAL064W-B_YAL064C-A	12427	13362	CHRI	intergenic
YAL064C-A	13363	13743	CHRI	ORF
intergenic*YAL064C-A_YAL064W	13744	21565	CHRI	intergenic
YAL064W	21566	21850	CHRI	ORF
intergenic*YAL064W_YALWdelta1	21851	22229	CHRI	intergenic
YALWdelta1	22230	22552	CHRI	long_terminal_repeat
YAL063C-A	22395	22685	CHRI	ORF
intergenic*YAL063C-A_YAL063C	22686	23999	CHRI	intergenic
YAL063C	24000	27968	CHRI	ORF
intergenic*YAL063C_ARS104	27969	30945	CHRI	intergenic
ARS104	30946	31183	CHRI	ARS
intergenic*ARS104_YAL062W	31184	31566	CHRI	intergenic
YAL062W	31567	32940	CHRI	ORF
intergenic*YAL062W_YAL061W	32941	33447	CHRI	intergenic
YAL061W	33448	34701	CHRI	ORF
intergenic*YAL061W_YAL060W	34702	35154	CHRI	intergenic
YAL060W	35155	36303	CHRI	ORF
intergenic*YAL060W_YAL059C-A	36304	36495	CHRI	intergenic
YAL059C-A	36496	36918	CHRI	ORF
YAL059W	36509	37147	CHRI	ORF
intergenic*YAL059W_YAL058W	37148	37463	CHRI	intergenic
YAL058W	37464	38972	CHRI	ORF
YAL056C-A	38696	39046	CHRI	ORF
intergenic*YAL056C-A_YAL056W	39047	39258	CHRI	intergenic
YAL056W	39259	41901	CHRI	ORF
intergenic*YAL056W_ARS105	41902	41991	CHRI	intergenic
ARS105	41992	42151	CHRI	ARS
intergenic*ARS105_YAL055W	42152	42176	CHRI	intergenic
YAL055W	42177	42719	CHRI	ORF
intergenic*YAL055W_YAL054C	42720	42880	CHRI	intergenic
YAL054C	42881	45022	CHRI	ORF
intergenic*YAL054C_YAL053W	45023	45898	CHRI	intergenic
YAL053W	45899	48250	CHRI	ORF
intergenic*YAL053W_YAL051W	48251	48563	CHRI	intergenic
YAL051W	48564	51707	CHRI	ORF
intergenic*YAL051W_YAL049C	51708	51854	CHRI	intergenic
YAL049C	51855	52595	CHRI	ORF
intergenic*YAL049C_YAL048C	52596	52800	CHRI	intergenic
YAL048C	52801	54789	CHRI	ORF
YAL047W-A	54584	54913	CHRI	ORF
intergenic*YAL047W-A_YAL047C	54914	54988	CHRI	intergenic
YAL047C	54989	56857	CHRI	ORF
intergenic*YAL047C_YAL046C	56858	57028	CHRI	intergenic
YAL046C	57029	57385	CHRI	ORF
intergenic*YAL046C_YAL045C	57386	57487	CHRI	intergenic
YAL045C	57488	57796	CHRI	ORF
YAL044W-A	57518	57850	CHRI	ORF
intergenic*YAL044W-A_YAL044C	57851	57949	CHRI	intergenic
YAL044C	57950	58462	CHRI	ORF
intergenic*YAL044C_YAL043C	58463	58694	CHRI	intergenic
YAL043C	58695	61052	CHRI	ORF
intergenic*YAL043C_YAL042C-A	61053	61230	CHRI	intergenic
YAL042C-A	61231	61608	CHRI	ORF
YAL042W	61316	62563	CHRI	ORF
intergenic*YAL042W_YAL041W	62564	62839	CHRI	intergenic
YAL041W	62840	65404	CHRI	ORF
intergenic*YAL041W_YAL040C	65405	65777	CHRI	intergenic
YAL040C	65778	67520	CHRI	ORF
intergenic*YAL040C_YAL039C	67521	68715	CHRI	intergenic
YAL039C	68716	69525	CHRI	ORF
intergenic*YAL039C_ARS106	69526	70299	CHRI	intergenic
ARS106	70300	70469	CHRI	ARS
intergenic*ARS106_YAL038W	70470	71785	CHRI	intergenic
YAL038W	71786	73288	CHRI	ORF
YAL037C-B	72326	73300	CHRI	ORF
intergenic*YAL037C-B_YAL037C-A	73301	73425	CHRI	intergenic
YAL037C-A	73426	73518	CHRI	ORF
intergenic*YAL037C-A_YAL037W	73519	74019	CHRI	intergenic
YAL037W	74020	74823	CHRI	ORF
intergenic*YAL037W_YAL036C	74824	75042	CHRI	intergenic
YAL036C	75043	76152	CHRI	ORF
intergenic*YAL036C_YAL035W	76153	76426	CHRI	intergenic
YAL035W	76427	79435	CHRI	ORF
intergenic*YAL035W_YAL034C-B	79436	79488	CHRI	intergenic
YAL034C-B	79489	79842	CHRI	ORF
YAL034W-A	79718	80587	CHRI	ORF
